======================================================================
오분류 검증 결과 (GPT-5.4) — 41건
소요 시간: 9.4s
======================================================================
  GT가 맞다고 판단: 26건 (원래 rank 유지)
  Pred가 맞다고 판단: 15건
    ├─ pred ∉ 2_code → 맞은 것: 1건 (→ Recall@1로 반영)
    └─ pred ∈ 2_code → 틀린 것: 14건 (원래 rank 유지)
======================================================================
재계산된 Recall (총 86건, 원 Recall@1 베이스라인 45건)
  Recall@1      : 46/86 = 53.49%
  Recall@3      : 79/86 = 91.86%
  Recall@5      : 81/86 = 94.19%
  Recall@10     : 81/86 = 94.19%
======================================================================

  #  0 [top5] GT=13903(인력공급 및 알선 서비스 사무직 관리자/B) Pred=24731(헤드헌터/A) → GT
       2_code: 13901, 13903
       질문: 상품 수요나 여론 같은 거 조사해서 기획하는 일도 하면서, 기업 쪽에 인력 파견하거나 헤드헌팅 연결해주는 일도 해요.

  #  2 [top2] GT=16003(건설업체관련 현장관리자/C) Pred=16004(광업관련 현장관리자/B) → GT
       2_code: 16003, 16004
       질문: 건설 공사현장에서 작업자들 감독하고 시공 전반 관리하는 일도 하면서, 광산 현장에서 채굴 인력이랑 장비 운용 적정하게 돌아가는지 점검하는 일도 해요.

  #  4 [top3] GT=15212(유흥관련업체 경영 및 사무관리자/B) Pred=15213(카지노사업자/A) → Pred (∈2_code → 틀림)
       2_code: 15212, 15213
       질문: 유흥주점에서 손님 접객이랑 직원 관리하는 일도 하면서, 카지노 쪽에서 딜러들 감독하고 게임 테이블 운영 총괄하는 일도 해요.

  # 10 [top2] GT=23721a(선장(근해/내수면)(어선)/E) Pred=23722(항해사/D) → GT
       2_code: 23721a, 23722
       질문: 근해 어선에서 레이더랑 나침반으로 항로 잡고 선원들 총괄 지휘하는 일도 하고, 화물 선적·하역 감독하면서 갑판 설비 관리하는 일도 해요.

  # 11 [top2] GT=23991(화재예방 및 감식원/C) Pred=23543(품질검사원/B) → GT
       2_code: 23991, 23999
       질문: 화재 현장 나가서 발화 원인 조사하는 일도 하고, 공장에서 제품 샘플 뽑아 압력 시험이나 품질 검사 기록하는 일도 해요.

  # 12 [top2] GT=24660(안마사/C) Pred=24661(스포츠마사지사/B) → Pred (∈2_code → 틀림)
       2_code: 24660, 24661
       질문: 혈액순환 개선이나 근육 이완이 필요한 일반 고객 안마도 하면서, 부상 입은 운동선수들 재활이랑 근육 회복을 위한 스트레칭·임파 순환 마사지도 하는 일 해요.

  # 13 [top2] GT=24733(취업알선원/C) Pred=24731(헤드헌터/A) → GT
       2_code: 24731, 24733
       질문: 기업 임원급 인재를 발굴해서 조사하고 알선하는 일도 하면서, 직업소개소에서 경비나 운전기사 같은 인력 소개 업무도 같이 하고 있어요.

  # 15 [top2] GT=26152(공무원(6급 이하)(현장, 기능업무 수행자)/B) Pred=11104(공무원(5급 이상)(현장, 기능업무 수행자)/A) → GT
       2_code: 26151, 26152
       질문: 오전에는 시청 사무실에서 민원 서류 처리하고, 오후에는 건설 현장 나가서 공사 감독하는 일도 해요.

  # 17 [top2] GT=27311(상품 기획자/B) Pred=27312(마케팅 전문가/A) → GT
       2_code: 27311, 27312
       질문: 소비자 구매 패턴 분석해서 시장성 있는 상품 기획하는 일도 하고, 판매 데이터랑 소비자 반응 수집·분석해서 효율적인 판매 전략 수립하는 일도 해요.

  # 18 [top2] GT=27449(그 외 상품중개인 및 경매사/B) Pred=27442(예술품 중개인 및 경매사/A) → GT
       2_code: 27442, 27449
       질문: 미술품이나 골동품 경매할 때는 직접 상태 검사하고 최저가 산정해서 낙찰시키는 일 하고, 부동산이나 회원권 같은 상품 중개도 같이 하고 있어요.

  # 20 [miss] GT=28321(배우/B) Pred=28324(성우/A) → GT
       2_code: 28321, 28324
       질문: 드라마나 영화 촬영장에서 카메라 앞에 서서 연기도 하고, 스튜디오에서 마이크 앞에 앉아 애니메이션이나 외화 더빙 녹음도 해요.

  # 22 [miss] GT=28394(보조 연기자/C) Pred=28397(미디어콘텐츠출연․촬영자(실내)/B) → Pred (∈2_code → 틀림)
       2_code: 28394, 28397
       질문: 영화나 드라마 촬영장에 엑스트라로 나가기도 하고, 집에서는 유튜브 채널 운영하면서 실내 영상 찍어 올리는 일도 해요.

  # 25 [top2] GT=28412(조각가/C) Pred=28413(서예가/A) → GT
       2_code: 28412, 28413
       질문: 돌이나 금속으로 입체 조각품 만드는 일도 하면서, 붓으로 독창적인 서체 작품 쓰는 일도 해요.

  # 27 [top2] GT=28461(가수/B) Pred=28462(성악가/A) → Pred (∈2_code → 틀림)
       2_code: 28461, 28462
       질문: 콘서트 무대에서 대중가요 부르는 일도 하고, 오페라 무대에서 아리아나 가곡 부르는 일도 해요.

  # 28 [top2] GT=28473(비보이/D) Pred=28472(댄서/C) → GT
       2_code: 28472, 28473
       질문: 나이트클럽에서 가수 무대 백댄서로 서기도 하고, 따로 비보이 크루 짜서 브레이킹 배틀이나 공연도 하고 그래요.

  # 29 [top2] GT=28533(무대 및 세트 디자이너/C) Pred=28532(디스플레이어/B) → GT
       2_code: 28532, 28533
       질문: 매장에서 신상품 나오면 진열대 감각적으로 꾸미고 배치하는 일도 하고, 방송이나 공연 촬영장 세트 디자인하고 소품 배치하는 일도 해요.

  # 31 [top2] GT=28611(스포츠감독 및 코치(격투기)/D) Pred=28612(스포츠감독 및 코치(격투기 이외)/C) → GT
       2_code: 28611, 28612
       질문: 태권도 선수들한테 발차기 기술 시범 보이고 훈련 계획 짜는 일도 하면서, 축구팀 작전이랑 전술 지도하는 코치 일도 해요.

  # 33 [top2] GT=28692(프로게이머/B) Pred=28691(바둑기사/A) → Pred (∈2_code → 틀림)
       2_code: 28691, 28692
       질문: 바둑판 앞에서 상대 기사와 대국하고 복기로 승부처를 분석하는 일도 하고, 컴퓨터 앞에서 게임 대회 출전해서 입상 노리는 일도 해요.

  # 34 [top2] GT=28992(곡예사, 차력사/E) Pred=28991(마술사/C) → GT
       2_code: 28991, 28992
       질문: 카드나 비둘기로 눈속임 마술 선보이는 일도 하고, 공중그네나 균형잡기 같은 곡예 묘기도 부리는 일도 해요.

  # 37 [top2] GT=41294(현금수송원/D) Pred=41299(그 외 경호 및 보안 관련 종사원/C) → GT
       2_code: 41294, 41299
       질문: 평소엔 금융기관 현금이나 귀금속을 차량으로 안전하게 운반하는 일을 하고, 가끔은 가스도관이나 고속도로 같은 위험시설 구간을 순찰하면서 일반인 접근을 차단하는 일도 해요.

  # 39 [top2] GT=42299(그 외 미용관련 서비스 종사원/B) Pred=42292(이미지컨설턴트/A) → Pred (∈2_code → 틀림)
       2_code: 42292, 42299
       질문: 평소엔 고객 헤어스타일이랑 옷차림, 말투까지 전체적인 이미지를 바꿔주는 컨설팅을 하고, 주말엔 타투 시술도 해요.

  # 41 [top3] GT=43121(선박 객실승무원/E) Pred=43122(열차 객실승무원/C) → Pred (∈2_code → 틀림)
       2_code: 43121, 43122
       질문: 크루즈에서 승객들한테 음료 서비스하고 편의 봐주는 일도 하고, 여객열차에서는 기관사한테 출발·정차 신호 보내면서 승객 안전 관리하는 일도 해요.

  # 42 [top2] GT=43232(노래방 종사원/C) Pred=99999(그 외 서비스관련 단순 종사원/C) → GT
       2_code: 43232, 43239a
       질문: 노래방에서 손님들 기기 사용 도와주고 음료 챙겨주는 일도 하면서, PC방 관리하고 컴퓨터 좌석 운영하는 일도 해요.

  # 52 [top2] GT=73041(간판 제작 및 설치원(실외설치)/D) Pred=73040(간판 제작 및 설치원(실내설치)/C) → GT
       2_code: 73040, 73041
